sentence,label
A: There is no man holding a sign and seeking money  B: A bearded man is standing by a shopping cart and is holding a cardboard sign,1
A: A dog is jumping at a shiny blue soccer ball in a field of dry leaves  B: There is no dog jumping at a shiny blue soccer ball in a field of dry leaves,0
A: A woman is walking in a city street  B: A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,1
A: The girl isn't jumping onto the car recklessly  B: One girl is jumping on the car,1
A: The furry brown dog is not running through the grassy area  B: The brown dog is playing outdoors,1
A: A boy is playing a guitar  B: A boy is playing an instrument,2
A: A man is pouring a plate of shredded cheese into a pot of sauce  B: The woman is adding cheese to the sauce,1
A: A man is eating  B: A woman is dancing gracefully,1
A: The boy is not playing the piano  B: The woman is pouring oil into the pan,1
"A: Some horses are racing furiously over the green grass and jumping an obstacle  B: The Jockeys are slowing down their horses on the field, which is completely green",1
A: A man is leaning against a pole and is surrounded by people  B: A man is leaning against a pole and is surrounded,2
A: Three friends are making faces for a photo  B: Two men and a girl in front of a wood panel wall are posing with funny faces,1
A: The boy is riding a bike on the top of a metal fence  B: The riders are fencing in a boy's metal bike,1
"A: A yellow dog is running on white snow on a sunny day  B: A dog, which is tan, is running through the snow",2
A: A boy is sitting on the ground  B: A toddler is sitting down,1
"A: A dog, which is black, and a white one are staring at each other in the street  B: A dog, which is black, and another one, which is white, are staring at each other in the street",2
A: Several swimmers are jumping into the water  B: Swimmers are racing in a lake,1
A: A woman is talking to a man  B: A woman is cracking eggs,1
"A: One man is climbing a cliff with a rope  B: A person is standing in front of a rock with a rope, which is pink",1
A: Someone is scratching the belly of an animal  B: Someone is scratching the back of an animal,1
A: The lady is peeling the potato  B: A woman is not peeling a potato,0
A: A man with a shirt is holding a football  B: A shirtless man is playing football on a lawn,1
A: A bicyclist is performing a trick over a clean wall  B: A cyclist is performing a jump on a bicycle,1
A: A big cat is opening a plastic drawer with its paws and is jumping inside  B: A small cat is opening a plastic drawer with its paws and jumping inside,1
A: A young girl in blue is jumping in the air  B: There is no girl in blue jumping in the air,0
A: Two boys are doing martial arts on a blue mat  B: Two boys in white outfits and red protective gear are sparring on a mat,1
A: Two children are not playing in the surf  B: Two children are playing in the surf,0
A: A man is getting into a car in a garage  B: A man is getting off the car,1
A: A woman is boiling noodles in water  B: A man is boiling noodles in water,1
A: Some ferrets are climbing down from a shelf  B: Ferrets are climbing down from a shelf,2
A: A woman is sitting near a flower bed and is overlooking a tunnel  B: Two people are standing on a bench,1
A: There is no woman dancing in a cage  B: The woman is dancing,1
A: A group of people is sitting on both sides of a red stone structure  B: Some people are sitting on the ground outside a monument,1
A: A man is performing tricks with a soccer ball  B: A man is running away from the soccer ball,1
A: There is no man fishing in the river  B: A man is singing and walking down the sidewalk,1
A: Two children are rolling in dirty water  B: Two children are rolling in muddy water,2
A: The military officer is shouting at the recruits  B: An officer is talking to the recruits,1
A: A group of boys is playing soccer on the seashore  B: A group of boys is playing soccer on the beach,2
A: Three people are driving four wheel ATVs in a street  B: Three people are driving four wheel ATVs in a field,1
A: A man is playing a guitar  B: There is no man singing and playing a guitar,1
A: A big brown and white spotted dog is lying on a jacket on the street  B: The dog is having a rest in the park,1
A: There are no children playing and waiting  B: Three Asian kids are dancing and a man is looking,1
A: A man is jumping into a pool  B: A man is diving into a pool,2
A: A woman is looking into the distance and people are walking between buildings behind  B: A man is playing a flute,1
A: A brown and white dog with a brown and black bandanna is running very fast  B: A small white dog is running in a lawn,1
A: A dog is chasing a ball in the grass  B: A ball is being chased by a dog on the grass,2
A: A dog is catching a ball  B: A dog is furiously chasing a ball through dirt,1
A: A dog is swimming after a tennis ball  B: A dog is barking at a ball,1
A: A child in orange is playing outdoors with a snowball  B: A kid in orange is playing outside with a snowball,2
A: The little girl is not swinging and the woman is not standing behind her  B: The little girl is swinging and the woman is standing behind her,0
A: The man is riding a horse  B: A man is riding a horse,2
A: A little dog is running on the sand  B: No little dog is running on the sand,0
A: A man is skiing down a hill and over a red obstacle  B: A man is skiing down a hill and jumping a red obstacle,2
A: The boy is sitting near the blue ocean  B: The boy is wading through the blue ocean,0
A: A person is cutting mushrooms with a knife  B: A person is putting away the mushrooms,1
A: Two men are leaving the stage  B: The men are performing on stage,1
A: A person who plays soccer is kicking a ball into the goal  B: A soccer ball is rolling into a goal net,1
"A: Two toddlers are sleeping in a wagon, which is really small  B: Two young kids are eating corndogs",1
A: The orange rider is driving a motorcycle on one wheel  B: A man on a yellow sport bike is doing a wheelie and a friend on a white bike is catching up,1
A: Different teams are playing football on a field  B: There is no team playing soccer,1
A: A nude lady is walking in front of a crowd in body paint  B: A nude crowd in body paint is walking in front of a lady ,1
A: A man with a camera is studying the subject  B: The study subject is a camera man,1
A: A woman is putting some sticky goo in a bowl  B: The woman is putting pasta into a dish,1
A: The people are sitting on a bench in front of a restaurant  B: The people are sitting in a restaurant in front of the beach,1
A: A cat is playing with a watermelon  B: A woman is looking at the view of a city,1
A: A little kid is wearing a hat and is walking in the dry sand  B: A little kid is wearing a hat and is walking in the wet sand,1
A: A woman is slicing a cucumber  B: A woman is jumping rope outside,1
A: The woman is picking up a baby kangaroo  B: The woman is not picking up a baby kangaroo,0
A: A dog is looking around  B: A dog is looking at a piece of furniture in a shop,1
A: The bride and the groom are arriving after the wedding  B: The bride and the groom are leaving after the wedding,1
A: A lot of people are in an ice skating park  B: Not a lot of people are in an ice skating park,0
A: The woman is cracking two eggs into a glass bowl  B: There is no woman cracking an egg into a bowl,0
A: The snowboarder is jumping off the snow  B: A snowboarder is jumping off the snow,2
A: The man with brown hair is wearing sunglasses and is sitting listlessly at a table with cans of soda and other drinks  B: A young man with brown hair and sunglasses is sitting in front of some cans of soda,2
A: A horse is being ridden in a creek by a man  B: A man is riding a horse,2
A: The lady is cracking an egg into a bowl  B: The lady is cracking an egg into a dish,2
A: A man is packing a violin  B: A man is playing a harp,1
A: A dog is chasing another and is holding a stick in its mouth  B: A dog is chasing another and is holding a piece of wood in its mouth,2
A: An airplane is taking off  B: A plane is taking off,2
A: A woman and three men are posing for a photo  B: A woman is posing for three men for a photo,1
A: A person is playing a trumpet  B: There is no man playing the guitar,1
A: A tiger is walking around  B: A tiger cub is making a sound,1
A: A man is playing a harp  B: The man is playing a harp,2
A: The woman is pouring oil into a skillet  B: The skillet is being oiled by a woman who is pouring some water,1
A: A dog is not running towards a ball  B: A dog is running towards a ball,0
A: A man is playing a harp  B: A harp is being played by a man,2
A: A small monkey is walking in the river  B: A monkey is wading through a marsh,1
A: A little girl in a green coat and a boy holding a red sled are walking in the snow  B: A child is wearing a coat and is carrying a red sled near a child in a green and black coat,1
A: A boy is checking a calendar  B: A boy is throwing away a calendar,1
A: Someone is playing with a toad  B: Someone is playing with a frog,1
A: The man is singing heartily and playing the guitar  B: A bicyclist is holding a bike over his head in a group of people,1
A: A person is not chopping an onion  B: A person is chopping an onion,0
A: Someone is stirring a pot of chili with a spoon  B: A pot of chili is being stirred by someone with a spoon,2
A: A woman is cutting a tomato  B: A woman is slicing a tomato,2
A: A tan dog which is dirty is rolling in the dirt and looking right at the camera  B: A dog is rolling on the ground,2
A: A white horse is being ridden by a man in a blue cowboy hat  B: A man in blue is riding a horse on a dirt road,1
A: Nobody is rinsing a steak with water  B: A man is rinsing a large steak,0
A: The man is playing an acoustic guitar  B: One man is playing the guitar,2
A: There is no monkey teasing a dog at the zoo  B: A monkey is pulling a dog's tail,0
A: A man is cutting a thick rope with a sword  B: A man is cutting a rope with a sword,2
A: A person is wiping butter on a tray  B: A person is spreading butter on a tray,2
A: A dog is chasing a ball on the grass  B: A dog is chasing a ball in the grass,2
A: There is no dog chasing a ball  B: The dog is catching a blue ball,1
A: A dog is standing with its two front paws on a rock in a field  B: The dog is standing with its two front paws on a rock in the field,2
"A: A dog next to a tree, which is probably a pine, is biting a bucket  B: There is no dog which is furry and black in a back yard carrying a basket in its mouth.",1
A: A small dog is chasing a large brown cow  B: A dog is walking away from the tail of an animal in the grass,1
A: No skateboarder is making a jump off a ramp  B: A man dressed in black is wearing inline skates and performing a trick on a rail,1
"A: A dog which is furry and black is in a back yard and is carrying a basket in its mouth  B: A dog next to a tree, which is probably a pine, is dropping a bucket",1
A: The lady is eating slices of meat  B: The lady is slicing up the meat,1
A: A black bird is taking flight from a dead tree  B: The black bird is sitting in a leafless tree,0
A: A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle  B: A person in a motocross uniform is wearing a helmet and rides a red motorcycle,1
"A: A dog in the backyard is carrying black fur in a basket in its mouth.  B: A dog next to a tree, which is probably a pine, is biting a bucket",1
"A: Two toddlers are eating corndogs in a wagon, which is really small  B: Two young children are eating corndogs",2
A: A man is eating a pizza  B: A pizza is being eaten by a man,2
A: A man in a red uniform is racing and making a jump over a bike in the dirt  B: A man is participating in a bmx race,1
A: A woman is walking the dog down the street  B: The dog is being walked by the woman,2
A: The black and white dog is running outdoors  B: The black and white dog is sitting on a green yard,1
A: The black dog is walking along a tree trunk bridge over water  B: There is no dog crossing a river on a bridge made from a fallen tree,0
A: A man is packing a violin  B: A man is playing a violin,1
A: A dog is chasing a ball on the grass  B: A ball is being chased by a dog on the grass,2
A: Some green boots in a puddle full of mud are targeted by a playful young child wearing a scarf  B: A little boy is jumping into a puddle on the street,1
A: A policeman is sitting tiredly on a motorcycle  B: The cop is sitting on a police bike,2
A: A man is chopping down a tree with an axe  B: A person is chopping down a tree with an axe,2
A: A motorbike rider is jumping over a person on a sandy track  B: A person is riding a motorbike in the event related to motocross,1
A: Eggs are being strongly whisked in a bowl by a person  B: A person is strongly whisking eggs in a bowl,2
A: The panda is not eating bamboo  B: A man on a bicycle is riding on one wheel only,1
A: A person is cutting some ginger  B: There is no person slicing an onion,1
A: A man is cutting an onion  B: There is no man opening a door,1
A: A dirty soccer ball is rolling into a goal net  B: A soccer ball is rolling into a goal net,2
A: People wearing costumes are gathering in a forest and are looking in the same direction  B: The little girl is looking at a man in costume,1
A: Two dogs of different breeds are looking at each other across a street  B: There are no dogs of different breeds looking at each other across a street,0
A: A man with tattoos is holding a couch with a pencil  B: A man with tattoos is lounging on a couch and holding a pencil,1
A: A dog is turning on the grass and pursuing a flying tennis ball  B: A dog is turning on the grass and pursuing a flying ball,2
A: A cluster of four brown dogs are playing in a field of brown grass  B: Four dogs are playing in a grassy area,2
A: The woman is picking up a kangaroo that is little  B: The woman is picking up the kangaroo,2
A: A person is performing tricks on a motorcycle  B: A man on a motorcycle is not riding on one wheel,1
A: A man is slicing some bread  B: A person is slicing a piece of bread,2
A: A woman is scrubbing a zucchini with a vegetable brush  B: A person is scrubbing a zucchini,2
A: A homeless man is holding up a sign and is begging for money  B: A homeless man is holding up a sign and is pitifully begging for money,2
A: A light brown dog is running up a street  B: The light brown dog is running up a street,2
A: A man is climbing a rope  B: The man is not climbing up a rope,1
A: Three boys are jumping in the leaves  B: Three kids are jumping in the leaves,2
A: A racer is leaning on a racing motorcycle  B: A man is leaning on a racing motorcycle,1
A: Someone is slicing a tomato  B: Nobody is slicing a tomato,0
A: The man is slicing a potato  B: The person is carefully slicing a potato,1
A: A great dog is climbing a steep hill  B: A light brown dog is running up a street,1
A: A dog in a colored coat is running swiftly across the yard  B: A dog in a colored coat is running across the yard,2
A: A great singer is dancing on the ceiling  B: A child is making a snow ball,1
"A: Some corndogs are being eaten by two toddlers who are in a wagon, which is really small  B: Two young kids are eating corndogs",2
A: A lady is cutting up some meat precisely  B: A lady is cutting up some meat,2
A: A man is playing the guitar  B: A woman is putting on lipstick,1
A: A girl is cutting butter into two pieces  B: Some tofu is being sliced by one woman,1
A: There is no dog standing on one leg and is waiting for a soccer ball  B: A black and white dog is jumping for a ball,1
A: The loud man is not allowed to play the guitar  B: A flute is being played by a man,1
A: A man is slicing a potato  B: There is no man slicing a potato,0
A: A race car driver is standing up and pointing his hand at the sky  B: The person in the blue jacket is putting down a colorful helmet,1
A: The man is playing a game on the grass  B: There is no rhino grazing on the grass,1
A: A man is playing a flute  B: The man is not playing the guitar,2
A: The person isn't dicing up an orange pepper  B: A cook is slicing some bell peppers,1
A: Dirt bikers are riding on a trail  B: Two people are not riding motorbikes,1
A: A child is hitting a baseball  B: A family is watching a little boy who is missing a baseball,1
A: A group of people is gathering at a stand at the fair  B: The people are running at a carnival,1
A: The man is eating cereal  B: There is no man eating a bowl of cereal,0
A: The man is eating  B: The person is eating,2
A: A person by some cameras is blowing on a burning torch  B: A person is burning some cameras with a blow torch,1
A: A teenage girl is storing away beads that are red  B: A teenage girl is wearing beads that are red,1
A: The girl in the blue coverall is painting  B: The woman is holding the paintbrush next to the artist's easel ,1
A: A truck is quickly going down a hill  B: Some water is being casually drunk by a cat,1
A: Someone is playing the guitar  B: Somebody is playing the guitar,2
A: The camera man is nailing a hammer to the wall  B: Someone is banging a camera lens against a nail,1
A: A woman is removing the peel of a potato  B: A woman is peeling a potato,2
A: A kid is splashing in the pool  B: A kid is splashing in the ocean,1
A: A man is playing the guitar  B: Nobody is playing the guitar,0
A: The man is sitting next to a birdcage  B: The man is standing next to a bird cage,1
A: A woman is drying noodles  B: A person is boiling noodles,1
A: A man is putting garlic on some bread slices  B: A person is bowling the ingredients to the man at the mixer,1
A: A herd of deer is crossing the street  B: One herd of deer is crossing the street,2
A: A child in a green and white sports uniform is resting on the grass  B: A child in a green and white sports uniform is running over the grass,0
A: A man is standing on a dirt hill next to a black jeep  B: A man in a hat is standing outside of a green vehicle,1
A: A group of friends are riding the current in a raft  B: A group is not riding the current in a raft,0
A: Two dogs are playing on a rocky beach  B: A black dog is approaching a golden dog on pebbly beach,1
A: There is no woman frying something  B: A woman is frying something,0
A: Several swimmers are dashing into the water  B: Several swimmers are jumping into the water,1
A: Two people in two chairs are talking  B: Two people in two chairs are reading,1
A: A man is singing and playing a guitar  B: A person is singing and playing a guitar,2
A: A man is drinking orange juice and walking on a sunny day  B: A man is drinking orange juice and walking,2
A: The cat perched on the table isn't looking out the window  B: The cat perched on the table is looking out the window,0
A: A group of kids is playing on a colorful structure  B: There is no one climbing on the grotto with a pink interior,1
"A: A woman is beating the man that is keeping two eggs in the bowl, using a wire whisk   B: A woman is beating two eggs in a bowl and using a whisk made of wire",1
A: The person is slicing a clove of garlic into pieces  B: A person is cutting a capsicum into pieces,1
A: A man with a white hat and brown shirt is behind a woman in red and is looking to the left  B: An Arabic man is wearing a white hat,1
A: A person is frying food in a pan  B: A person is holding a skunk,1
A: The dog is running into a brown light  B: A light brown dog is running up a street,1
A: Two football players are scrambling for the ball on the court  B: Two basketball players are scrambling for the ball on the court,1
A: A black and white dog is holding a baseball in its mouth  B: A black and white dog is dropping a baseball from its mouth,1
A: The woman is poking a potato  B: There is no woman putting a child in a waste bin,1
A: The ice skating rink placed outdoors is full of people  B: A lot of people are in an ice skating park,2
A: The woman is not dicing garlic  B: The woman is dicing garlic,0
A: A child is running in and out of the ocean waves  B: The young boy is not running through the ocean waves,1
A: One person is riding a bicycle in the sand beside the ocean  B: A man on a bicycle is riding on the beach,1
A: A thin lady is piecing together oriental carrot cuts  B: The oriental lady is cutting a carrot into thin pieces,1
A: Two young boys are looking up at the camera and one is sticking out his tongue  B: A little boy is sticking his tongue out for the camera and another boy is not looking,1
A: The man is dancing  B: Three women are standing still,1
A: The small child is wading through the water and is being guided by another person  B: The small child is not wading through the water and is not being guided by another person,0
A: A man is mixing vegetables in a pot  B: A person is stirring vegetables in a pot,2
A: The black woman is wearing glasses over the headdress  B: A woman is wearing an Egyptian headdress,1
A: There is no girl with a black bag on a crowded train  B: A girl with a black bag is on a crowded train,0
A: The woman is cutting a carrot  B: There is no woman slicing an onion,1
A: Someone is banging a camera lens against a nail  B: There is no one banging a camera lens against a nail,0
A: A young girl is playing on the edge of a fountain and an older woman is not watching her  B: A little girl and a woman wearing a yellow shirt are getting splashed by a city fountain,1
A: A man is pouring liquid into a pot  B: The chef is carefully pouring some oil into a pan,1
A: A man is driving a car  B: A man is riding a horse,1
A: No young child is riding a three wheeled scooter down the sidewalk  B: A toddler is riding a plastic scooter toy,1
A: A man is talking to the woman who is seated beside him and is driving a car  B: A woman is driving a car and is talking to the man who is seated beside her,2
A: Five people are standing with three dogs in the green field beside the road  B: Five people are standing in the grass with some dogs,2
A: Someone is boiling okra in a pot  B: Someone is cooking okra in a pan,1
"A: A girl in a uniform, which is blue, is raising her arm.  B: The girl in the blue and white uniform is cheering",1
A: A woman is deep frying food  B: Some food is being fried by a woman,2
A: The small bee is landing on a bunch of yellow flowers  B: A small bee is landing on a bunch of yellow flowers,2
A: A man is wearing a purple shirt and black leather chaps and is posing for the camera  B: A model is wearing a purple shirt and black leather chaps and is posing for the camera,2
"A: The man is doing a magic trick  B: The kid, who is doing magic, is tricking an old man",1
A: A guy is mowing the lawn  B: There is no man mowing grass,0
A: A soccer ball is not rolling into a goal net  B: A soccer ball is rolling into a goal net,0
A: An Asian woman is holding a fur scarf  B: There is no Asian woman holding a fur scarf,0
A: A woman is standing in the water at the base of a waterfall  B: A man is standing in the water at the base of a waterfall,1
A: There is no man eating a pizza  B: A man is eating some food,1
A: A man is playing a guitar  B: A man is playing a keyboard,1
A: Five adults are sitting on stone steps  B: People is standing against a wall,1
A: The man is funnily playing the piano with his nose  B: The man is playing the piano with his nose,2
A: The man isn't playing the piano  B: The man is playing a piano,0
A: A dark black dog and a light brown dog are playing in the yard in the back  B: A dark black dog and a light brown dog are playing in the backyard,2
A: A cheetah is quickly running behind its prey.  B: The cheetah is running quickly behind its prey,2
A: A dog is near the red ball in the air  B: A dog is far from the red ball in the air,0
A: Two construction workers are sitting up on the side of a building  B: Two construction workers are sitting up on the top of a building,1
A: There is no man walking outside  B: A man is dancing,1
A: The man is cutting cooked octopus  B: The woman is cutting cooked octopus,1
A: A woman is slicing meat with a knife  B: A man is lumping dough,1
A: The dog is playing with a plastic container  B: The puppy is not playing with a plastic container,0
A: Some dogs are playing in a stream  B: Two dogs are looking at something that is moving in the water,1
A: A man is riding a motorbike  B: A man is riding a motorcycle,2
A: The man is standing steadily next to a birdcage  B: A man is standing beside a large and colorful birdcage,1
A: A man is walking slowly across a rope bridge  B: A boy is fearfully walking across a bridge,1
A: A cat is playing with a watermelon  B: One cat is playing with a watermelon,2
A: A man is singing and playing a guitar  B: A boy is skillfully playing a piano,1
A: The meat is being dropped into a pan  B: There is no woman putting meat in a pan,1
A: A man and a woman are jumping on the curb  B: A man and a woman are standing on the curb,1
A: A boy is jumping off the side of a water fountain made of stone in front of a building  B: A boy is jumping off the side of a stone water fountain in front of a building,2
A: A man is cutting a lemon  B: A woman is firing a rifle,1
A: Two people are sitting on a park bench on a sunny day  B: Two people are sitting on a park bench on a rainy day,1
A: The back of a small black dog is being sniffed by the brown dog  B: The brown dog is sniffing the back of a small black dog,2
A: The man in a hat suited for cowboys is walking through a market and is putting a hand in his pocket  B: The man in a cowboy hat is walking through a market and is putting a hand in his pocket,2
A: A woman is frying fish  B: A woman is not frying fish,0
A: A person is slicing a carrot into pieces  B: A person is dicing an onion,1
A: Two men are riding an orange raft on the shore  B: The orange rescue boat is rushing across the water,1
A: There is no man cutting a potato  B: A woman is cutting a tomato,1
A: The woman is not walking the dog  B: The woman is walking the dog,0
A: A person with a green shirt is jumping onto the grass  B: A young boy is jumping in the air with his knees bent and arms spread,1
A: The person is practicing the guitar  B: The play for the ladies requires a guitar,1
A: The lady is cracking an egg for the mixer  B: The lady isn't cracking an egg for the mixer,0
A: A young girl is standing on one leg  B: A young girl is standing still,1
A: A man is being curiously looked at by a woman  B: The man is standing on a rocky mountain and gray clouds are in the background,1
A: The man is not taking a picture of himself and another guy  B: The man is taking a picture of himself and another guy,0
A: The girl in the black hat is wearing a bikini at the beach  B: A young lady in a bikini is lying on the beach,1
A: A family is watching a little boy who is hitting a baseball  B: A family is watching a little boy who is missing a baseball,1
A: A cat is stuck on a moving ceiling fan  B: There is no cat swinging on a fan,0
A: Two brown dogs are playing with a frisbee in the water  B: Two brown dogs are playing with the frisbee in the water,2
A: A big cat is opening a drawer made of plastic with its paws and is jumping inside  B: A cat is opening a drawer and climbing inside,2
A: A woman is slicing potatoes  B: A person is riding a horse,1
A: A waterfall is flowing out of a shallow pool  B: A waterfall is flowing into a shallow pool,1
A: A wet boy is cheerfully jumping around on dirty and wet grass  B: A wet boy is jumping around on dirty and wet grass,2
A: A young black child is standing on the edge of a body of water near some buckets  B: A boy next to some buckets of rags is not holding an object,1
A: There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something  B: A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,0
A: The people are sitting aimlessly on a bench in front of a restaurant  B: The people are sitting on a bench in front of a restaurant,2
A: A white dog is standing on the leaves on the ground  B: One white dog is standing on the leaves on the ground,2
A: The dog has its head inside a red and green gift bag  B: A dog has its head inside a red and green gift bag,2
A: A dog is near the red ball in the air  B: A small kid is playing with a green toy dog on the grass,1
A: A young couple is lying on a bed together  B: A young couple is not lying in bed,0
"A: A person is standing in the snow at the edge of a mountain  B: A woman is standing at dusk on an almost pristine, snowy road, that is lit only by headlights",1
A: A man is putting down the guitar  B: A woman is playing a guitar,1
A: A man with a helmet painted red is riding a blue motorcycle down the road  B: A motorcyclist with a red helmet is riding a blue motorcycle down the road,2
A: There is no dog bouncing on a trampoline  B: A dog is jumping on a trampoline,0
A: A waterfall is flowing calmly into a shallow pool  B: A waterfall is flowing into a shallow pool,2
A: The girl in blue is chasing the base runner with a number on the jersey  B: A man in blue has a yellow ball in the mitt,1
