sentence,label
unfaithful ' cheats on itself and retreats to comfortable territory . ,0
know how to please the eye ,1
of four englishmen facing the prospect of their own mortality ,0
might be like trying to eat brussels sprouts ,0
"buy is an accomplished actress , and ",1
"this overlong infomercial , ",0
a heartland so overwhelmed by its lack of purpose that it seeks excitement in manufactured high drama ,0
refreshing ,1
vereté has a whip-smart sense of narrative bluffs . ,1
be cherished ,1
"sit through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ? ",0
remaining one of the most savagely hilarious social critics this side of jonathan swift ,1
you 're willing to have fun with it ,1
"suspense , intriguing characters and ",1
highlighted by a gritty style and an excellent cast ,1
queasy ,0
the new film of anton chekhov 's the cherry orchard puts the ` ick ' in ` classic . ' ,0
is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation . ,0
in three words : thumbs friggin ' down ,0
"fascination , and ",1
one mediocre movie ,0
annoying specimen ,0
the closest thing to the experience of space travel ,1
"sneaks up on the viewer , providing an experience that is richer than anticipated ",1
the 50-something lovebirds are too immature and unappealing to care about . ,0
better off staying on the festival circuit ,0
mildly amusing ,1
a greater knowledge ,1
laughing ,1
helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure ,1
"is lost , leaving the character of critical jim two-dimensional and pointless ",0
it 's awfully entertaining to watch . ,1
is that her confidence in her material is merited . ,1
manic ,0
but also nicely done ,1
donovan ... squanders his main asset ,0
everything that 's good is ultimately scuttled by a plot that 's just too boring and obvious ,0
it 's not just the vampires that are damned in queen of the damned ,0
will find in these characters ' foibles a timeless and unique perspective . ,1
rife with miscalculations ,0
"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast . ",0
"horrifyingly , ever ",0
matthew lillard is born to play shaggy ! ,1
"unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either . ",0
extra-dry ,0
"as in aimless , arduous , and arbitrary ",0
nazi ,0
a fairly harmless but ultimately lifeless feature-length afterschool special . ,0
often overwritten ,0
sleepless ,0
an ebullient affection for industrial-model meat freezers ,0
looking for a story ,0
"with humor , warmth , and intelligence ",1
"a nice , harmless date film ",1
's no way you wo n't be talking about the film once you exit the theater . ,1
"immensely ambitious , different than anything that 's been done before and amazingly successful ",1
that their charm does n't do a load of good ,0
the number of tumbleweeds blowing through the empty theaters ,0
whip-smart ,1
but certainly hard to hate ,1
may rate as the most magical and most fun family fare of this or any recent holiday season . ,1
from their incessant whining ,0
an emotional wallop ,1
hate myself ,0
by 86 minutes of overly-familiar and poorly-constructed comedy ,0
read my lips ,0
disoriented ,0
"beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing . ",1
they finally feel absolutely earned ,1
thirst ,1
"all in all , a great party ",1
"inspiring , ironic , and ",1
there is no foundation for it ,0
masochistic moviegoers ,0
"its hawaiian setting , the science-fiction trimmings and ",1
there are side stories aplenty -- none of them memorable . ,0
with humor and poignancy ,1
enough to give you brain strain ,0
unaware that it 's the butt of its own joke . ,0
"that it fails to have a heart , mind or humor of its own ",0
the gorgeously elaborate continuation of `` the lord of the rings '' trilogy is so huge that a column of words can not adequately describe co-writer/director peter jackson 's expanded vision of j.r.r. tolkien 's middle-earth . ,1
's not nearly enough that 's right ,0
the real-life story is genuinely inspirational ,1
the story 's scope and pageantry are mesmerizing ,1
"reign of fire never comes close to recovering from its demented premise , but ",0
a bonus feature ,1
stale and ,0
affirm love 's power to help people endure almost unimaginable horror ,1
incoherence reigns . ,0
imaginative kid 's movie ,1
is not even half the interest ,0
", i spy is still fun and enjoyable and so aggressively silly that it 's more than a worthwhile effort . ",1
a suspenseful horror movie ,1
the brilliance of animal house ,1
"enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers . ",1
there 's something awfully deadly about any movie with a life-affirming message ,0
treasured ,1
between deadpan comedy and heartbreaking ,1
underdeveloped effort ,0
", purpose and emotionally bruised characters ",1
steals so freely from other movies and ,0
leave it ,0
sappy ethnic sleeper ,0
of persistence that is sure to win viewers ' hearts ,1
quite good at providing some good old fashioned spooks . ,1
"the bai brothers have taken an small slice of history and opened it up for all of us to understand , and they 've told a nice little story in the process ",1
"this has layered , well-developed characters and some surprises . ",1
dull and ankle-deep ,0
dazzling dream ,1
rises above the level of a telanovela . ,1
down on their working-class subjects ,0
of diverse political perspectives ,1
"max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished . ",1
entertained by the sight of someone ,1
their largest-ever historical canvas ,1
"have a 90-minute , four-star movie ",1
"is in the right place , his plea for democracy and civic action laudable . ",1
film legacy ,1
and artistically inept ,0
"equally beautiful , self-satisfied 18-year-old mistress ",1
"a playful iranian parable about openness , particularly the need for people of diverse political perspectives to get along despite their ideological differences . ",1
helps `` being earnest '' overcome its weaknesses ,1
mundane soap opera ,0
cut open a vein ,0
circuit is the awkwardly paced soap opera-ish story . ,0
"found its audience , probably because it 's extremely hard to relate to any of the characters . ",0
fully formed and remarkably assured ,1
a stunningly unoriginal premise ,0
offer some modest amusements when one has nothing else to watch ,1
"well , in some of those , the mother deer even dies . ",0
epic four-hour indian musical ,1
skunk ,0
to be a hip-hop fan to appreciate scratch ,1
to die for ,1
sheer unbridled delight ,1
juiced ,1
with more holes than clyde barrow 's car ,0
enjoyable documentary . ,1
but it does n't leave you with much . ,0
"good actors , good poetry and good music ",1
of being a good documentarian ,1
"because we 've seen ( eddie ) murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed ",0
unbearable when it is n't merely offensive ,0
"beautiful , cold , oddly colorful and just plain otherworldly , a freaky bit of art that 's there to scare while we delight in the images ",1
the one not-so-small problem with expecting is that the entire exercise has no real point . ,0
"tartakovsky 's team has some freakish powers of visual charm , but the five writers slip into the modern rut of narrative banality . ",0
"nicolas cage is n't the first actor to lead a group of talented friends astray , and this movie wo n't create a ruffle in what is already an erratic career ",0
has value can not be denied ,1
the film 's winning tone ,1
"what we have here is n't a disaster , exactly , but a very handsomely produced let-down . ",0
between chaplin and kidman ,1
"i 'm not sure which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening , but ",0
for the complicated love triangle that develops between the three central characters ,1
likable movie ,1
goes where you expect and often surprises you with unexpected comedy ,1
"been discovered , indulged in and rejected as boring before i see this piece of crap again ",0
desirable ,1
"rises in its courageousness , and comedic employment . ",1
how much they engage and even touch us ,1
deserve a passing grade ,1
it throws you for a loop . ,1
unexpected twists ,1
"the story is lacking any real emotional impact , and the plot is both contrived and cliched . ",0
is icily brilliant ,1
rooted in a sincere performance by the title character undergoing midlife crisis . ,1
", an archetypal desire to enjoy good trash every now and then . ",0
plots that never quite gel ,0
what once was conviction ,1
"show more of the dilemma , rather than have his characters stage shouting ",0
"transforms the dreary expanse of dead-end distaste the characters inhabit into a poem of art , music and metaphor . ",1
actually seem to understand what made allen 's romantic comedies so pertinent and enduring ,1
the film seems as deflated as he does ,0
bring off this wild welsh whimsy . ,1
"both grant and hoult carry the movie because they are believable as people -- flawed , assured of the wrong things , and scared to admit how much they may really need the company of others . ",1
more than anything else slight ... tadpole pulls back from the consequences of its own actions and revelations ,0
of the avant-garde fused with their humor ,1
"who , exactly , is fighting whom here ? ",0
was inspired ,1
"it made me feel unclean , and ",0
dazzling ,1
"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and , really , nobody in the viewing audience cares ",0
toward maximum comfort and familiarity ,1
host to some truly excellent sequences ,1
spielberg presents a fascinating but flawed look at the near future . ,1
deftly executed ,1
deeply humanistic ,1
engross ,1
i for one enjoyed the thrill of the chill ,1
is just sooooo tired ,0
because the consciously dumbed-down approach wears thin ,0
it reminds you how pertinent its dynamics remain ,1
to mention absolutely refreshed . ,1
"'s the kind of under-inspired , overblown enterprise that gives hollywood sequels a bad name ",0
's not so much a movie as a joint promotion for the national basketball association and teenaged rap and adolescent poster-boy lil ' bow wow . ,0
what little grace ( rifkin 's ) tale of precarious skid-row dignity achieves ,0
the merits of fighting hard for something that really matters ,1
wears out its welcome as tryingly as the title character . ,0
"hold our interest , but its just not a thrilling movie ",0
clumsy and ,0
although devoid of objectivity and full of nostalgic comments from the now middle-aged participants ,0
sundance festival ,1
astonishingly pivotal ,1
for some major alterations ,1
something clever ,1
"is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out ",1
foul ,0
a powerful 1957 drama we 've somehow never seen before ,1
is a slight and uninventive movie ,0
that is dark ,0
what i like about men with brooms and what is kind of special is how the film knows what 's unique and quirky about canadians ,1
a domestic melodrama with weak dialogue and biopic cliches . ,0
is undoubtedly one of the finest films of the year . ,1
"a pleasant distraction , ",1
its audience giddy with the delight of discovery ,1
"lectured to by tech-geeks , if you 're up for that sort of thing ",0
a compelling piece ,1
norwegian offering which somehow snagged an oscar nomination ,0
establishes its ominous mood and tension ,1
"a relentless , bombastic and ultimately empty world war ii action ",0
threefold expansion ,1
minutely detailed wonders ,1
a rote exercise in both animation and storytelling . ,0
most effective if used as a tool to rally anti-catholic protestors ,0
"is funny , not actually exploiting it yourself ",1
"terminally bland , painfully slow and ",0
leaves you wanting more ,1
"finely crafted , finely written ",1
"mckay seems embarrassed by his own invention and tries to rush through the intermediary passages , apparently hoping that the audience will not notice the glaring triteness of the plot device ",0
bewilderingly brilliant and entertaining ,1
motivated by something more than franchise possibilities ,1
"its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work ",1
"unlikable , uninteresting , unfunny , and completely ",0
"is lightweight filmmaking , ",0
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year . ",1
with fewer gags to break the tedium ,0
is better than you might think . ,1
"is a popcorn film , not a must-own , or even a must-see ",0
both excellent ,1
a man has made about women since valley of the dolls ,1
neglects to add the magic that made it all work ,0
from the ages ,1
into the art film pantheon ,1
'd do well to check this one out because it 's straight up twin peaks action ... ,1
"who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized ",1
full of the kind of obnoxious chitchat that only self-aware neurotics engage in . ,0
"the cheap , graceless , hackneyed sci-fi serials of the '30s and '40s ",0
thoughtful and surprisingly affecting portrait ,1
this is sure to raise audience 's spirits and leave them singing long after the credits roll . ,1
has worked wonders with the material . ,1
that tian 's meticulous talent has not withered during his enforced hiatus ,1
"comes off winningly , ",1
is more likely to induce sleep than fright ,0
"for more than two decades mr. nachtwey has traveled to places in the world devastated by war , famine and poverty and documented the cruelty and suffering he has found with an devastating , eloquent clarity . ",1
a baffling mixed platter of gritty realism and magic realism with a hard-to-swallow premise . ,0
such a clever adaptation ,1
bracingly truthful antidote ,1
hilariously ,1
", you 're far better served by the source material . ",0
loved ,1
leguizamo and jones are both excellent and the rest of the cast is uniformly superb ,1
working to develop her own film language with conspicuous success ,1
", it is quite possibly the sturdiest example yet of why the dv revolution has cheapened the artistry of making a film . ",0
lacks in substance ,0
"by england 's roger mitchell , who handily makes the move from pleasing ",1
high-minded ,1
an esteemed writer-actor ,1
laughable dialogue ,0
"the word -- mindless , lifeless , meandering , loud , painful , obnoxious ",0
"blue crush , a late-summer surfer girl entry , should be as entertaining as it is ",1
"it 's a very sincere work , ",1
"brings a youthful , out-to-change-the-world aggressiveness to the project , ",1
treasure ,1
unusually tame ,0
"in an irresistible junior-high way , ",1
"a most traditional , reserved kind of filmmaking ",1
unsuccessful ,0
"'s sanctimonious , self-righteous and so eager to earn our love that you want to slap it ",0
'll find yourself wishing that you and they were in another movie . ,0
"vibrant , colorful world ",1
"settles in and becomes compulsively watchable in a guilty-pleasure , daytime-drama sort of fashion ",1
"unfunny and lacking any sense of commitment to or affection for its characters , the reginald hudlin comedy relies on toilet humor , ethnic slurs . ",0
after the death of a child ,0
appealing character quirks ,1
takes its techniques into such fresh territory that the film never feels derivative ,1
"gasp , shudder ",0
"the piano teacher , like its title character , is repellantly out of control . ",0
"at every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... ",0
"hard , endearing , caring , ",1
rather brilliant ,1
sometimes beautiful ,1
"we do n't get williams ' usual tear and a smile , just sneers and bile , and ",0
nearly every attempt at humor here is doa . ,0
'm actually having a hard time believing people were paid to make it ,0
"but this new jangle of noise , mayhem and stupidity must be a serious contender for the title . ",0
be why it 's so successful at lodging itself in the brain ,1
becomes a testament ,1
is n't very funny . ,0
bold by studio standards ,1
however canned -- ,0
"the frustration , ",0
the film settles too easily along the contours of expectation ,0
this wedding ,1
", i enjoyed it just as much ! ",1
neither light nor magical enough to bring off this kind of whimsy ,0
a no-bull throwback ,1
almodovar is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears . ' ,1
bind us ,0
"a pointed , often tender , examination of the pros and cons of unconditional love and familial duties . ",1
lively ,1
the emphasis on self-empowering schmaltz and ,0
is highly pleasurable ,1
of almost bergmanesque intensity ,1
yourself remembering this refreshing visit to a sunshine state ,1
well-paced and ,1
"a good ear for dialogue , ",1
breathtaking mystery ,1
... works on some levels and is certainly worth seeing at least once . ,1
it the darling of many a kids-and-family-oriented cable channel ,1
"a vivid , spicy footnote to history , ",1
a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes . ,0
a feel-good fantasy ,1
are bad ,0
really cool bit ,1
in a summer of clones ,0
fail to capture its visual appeal or its atmosphere ,0
oddly fascinating ,1
worse yet ,0
fear dot com is more frustrating than a modem that disconnects every 10 seconds . ,0
you like an extreme action-packed film with a hint of humor ,1
this film 's impressive performances ,1
still want my money back . ,0
"appropriately , the tale unfolds like a lazy summer afternoon and concludes with the crisp clarity of a fall dawn . ",1
there 's nothing interesting in unfaithful whatsoever . ,0
a fascinating glimpse ,1
( a ) rather thinly-conceived movie . ,0
only is entry number twenty the worst of the brosnan bunch ,0
"tense , terrific , sweaty-palmed fun . ",1
"beautifully shot , delicately scored and powered by a set of heartfelt performances ",1
the most moronic screenplays ,0
"tale will be all too familiar for anyone who 's seen george roy hill 's 1973 film , `` the sting . '' ",0
is just as boring and as obvious ,0
most good-hearted ,1
deliver remarkable performances ,1
"speak fluent flatula , ' advises denlopp after a rather , er , bubbly exchange with an alien deckhand ",1
inhabit their world without cleaving to a narrative arc ,1
"director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world 's greatest teacher ",1
it must be the end of the world : the best film so far this year is a franchise sequel starring wesley snipes ,1
director charles stone iii applies more detail to the film 's music than to the story line ; what 's best about drumline is its energy . ,1
"joshua is as blasphemous and nonsensical as a luis buñuel film without the latter 's attendant intelligence , poetry , passion , and genius . ",0
youthful affluence not as a lost ideal but a starting point ,1
"is all about a wild-and-woolly , wall-to-wall good time ",1
"filled with honest performances and exceptional detail , baran is a gentle film with dramatic punch , a haunting ode to humanity . ",1
kilt-wearing jackson ,0
"in that it is does not rely on dumb gags , anatomical humor , or character cliches ",1
cinematic punishment ,0
deep or ,1
even if it may still leave you wanting more answers as the credits ,0
backwater ,1
sharp edges and a deep vein of sadness run through its otherwise comic narrative . ,1
shapeless ,0
makes you feel like a chump ,0
's mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo 's ) best work . ,0
i 'm not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche . ,0
should stop trying to please his mom ,0
-- on the way to striking a blow for artistic integrity -- ,1
the film is deadly dull ,0
nasty comedy ,0
responsible for this illuminating comedy ,1
"the characters , cast in impossibly contrived situations , are totally estranged from reality . ",0
"dumb gags , anatomical humor ",0
"what saves it ... and makes it one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure for protagonist alice . ",1
jordan jealous ,0
the film oozes craft . ,1
exercise in formula crash-and-bash action ,0
have a tendency to slip into hokum ,0
"thrill you , touch you and make you ",1
a shrewd and effective film ,1
"take the warning literally , and log on to something more user-friendly ",0
extravagant confidence ,1
therefore i know better than to rush to the theater for this one ,0
of irreparable damage ,0
funny ,1
every shot enhances the excellent performances ,1
"too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than pink floyd tickets . ",1
were that grand a failure ,0
never comes together ,0
have thought possible ,1
laughs and not the last time ,1
glaring triteness ,0
lazy exercise ,0
there is no substitute for on-screen chemistry ,1
( seagal 's ) ,1
"hugh grant , who has a good line in charm , has never been more charming than in about a boy . ",1
the believer is nothing less than a provocative piece of work ,1
a serious drama ,1
steers refreshingly clear of the usual cliches ,1
losin ' his fan base ,0
committed performances ,1
to trivialize the material ,0
"a nice , light treat ",1
"in fact , even better ",1
a long shot ,0
a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents ,1
"get on a board and , uh , shred , ",0
a chilling tale of one of the great crimes of 20th century france : the murder of two rich women by their servants in 1933 . ,1
"if you can read the subtitles ( the opera is sung in italian ) and you like ` masterpiece theatre ' type costumes , you 'll enjoy this movie . ",1
bibbidy-bobbidi-bland . ,0
some problems ,0
a powerful performance from mel gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an m-16 . ,1
"the acting is amateurish , the cinematography is atrocious , ",0
be consumed and forgotten ,0
takes few chances and manages to insult the intelligence of everyone in the audience ,0
"creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance ",1
feel like the movie 's various victimized audience members after a while ,0
never achieve the popularity of my big fat greek wedding ,0
repeated at least four times ,0
into brutally labored and unfunny hokum ,0
", relaxed in its perfect quiet pace and proud in its message . ",1
nurses plot holes gaping enough to pilot an entire olympic swim team through ,0
satisfy ,1
suits the script ,1
you 're an absolute raving star wars junkie ,0
"dip into your wallet , swipe 90 minutes of your time , ",0
the overall feeling is genial and decent ,1
on its own staggeringly unoriginal terms ,0
for the film 's winning tone ,1
by far the worst movie of the year ,0
a great cast and a great idea ,1
a native american ,1
the corniest ,0
"offers copious hints along the way -- myriad signs , if you will -- that beneath the familiar , funny surface is a far bigger , far more meaningful story than one in which little green men come to earth for harvesting purposes ",1
watch with kids and use to introduce video as art ,1
aggressively silly ,0
for the best ,1
"it follows the blair witch formula for an hour , in which we 're told something creepy and vague is in the works , and then it goes awry in the final 30 minutes . ",0
"typed ` chris rock , ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine ",0
for a fairly inexperienced filmmaker ,0
when a movie asks you to feel sorry for mick jagger 's sex life ,0
the director 's many dodges and turns add up to little more than a screenful of gamesmanship that 's low on both suspense and payoff . ,0
charlotte sometimes is a gem . ,1
as solid and as perfect as his outstanding performance as bond in die ,1
the movie does not do them justice ,0
a mesmerizing performance as a full-fledged sex addict ,1
cedar somewhat defuses this provocative theme by submerging it in a hoary love triangle . ,1
of the best looking and stylish ,1
watching austin powers in goldmember is like binging on cotton candy . ,1
"zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , ",1
cheesy commercialism ,0
"a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; ",1
perfectly pleasant if ,1
the sheer dumbness ,0
reading your scripts before signing that dotted line ,0
a family-oriented non-disney film ,1
poetry ,1
shabby script ,0
happy times maintains an appealing veneer without becoming too cute about it . ,1
none of which amounts to much of a story ,0
it accurately reflects the rage and alienation that fuels the self-destructiveness of many young people ,0
seems uncertain ,0
a relative letdown . ,0
canny crowd pleaser ,1
likes of which mainstream audiences have rarely seen ,1
mean-spirited ,0
has the right stuff for silly summer entertainment and ,1
"as a movie for teens to laugh , groan and hiss at ",1
juicy role ,1
the stuff of lurid melodrama ,1
retro uplifter . ,1
"its dying , in this shower of black-and-white psychedelia , ",0
rank as three of the most multilayered and sympathetic female characters of the year . ,1
", you 're engulfed by it . ",1
to be an effectively chilling guilty pleasure ,1
twenty-first ,1
joys ,1
"a fluid , no-nonsense authority ",1
can depress you about life itself . ,0
it certainly got lost in the `` soon-to-be-forgettable '' section of the quirky rip-off prison romp pile . ,0
... may work as an addictive guilty pleasure but the material never overcomes its questionable satirical ambivalence . ,0
that made the original men in black such a pleasure ,1
sophisticated film ,1
raise audience 's spirits ,1
"is dark , brooding and slow , and ",0
an ease in front of the camera ,1
use of his particular talents . ,1
"flawless film , ( wang ) ",1
that wind-in-the-hair exhilarating ,1
deeply meditative ,1
is how so many talented people were convinced to waste their time ,0
"just when you think that every possible angle has been exhausted by documentarians , another new film emerges with yet another remarkable yet shockingly little-known perspective . ",1
modestly made ,1
"effective enough at achieving the modest , crowd-pleasing goals it sets for itself ",1
unexplainable pain ,0
"'s a pedestrian , flat drama that screams out ` amateur ' in almost every frame ",0
zealand coming-of-age movie ,1
less an examination of neo-nazism than a probe into the nature of faith itself ,1
this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people ,1
worth a peek ,1
disarmingly straightforward and strikingly devious ,1
above-average thriller ,1
too much ,0
"for all its violence , the movie is remarkably dull with only caine making much of an impression . ",0
perfect for the proud warrior that still lingers in the souls of these characters ,1
lacks the charisma and ability ,0
"might have been saved if the director , tom dey , had spliced together bits and pieces of midnight run and 48 hours ( and , for that matter , shrek ) . ",0
"moving in many directions as it searches ( vainly , i think ) for something fresh to say ",1
hunk ,1
"by the time the plot grinds itself out in increasingly incoherent fashion , you might be wishing for a watch that makes time go faster rather than the other way around . ",0
the problem with wendigo ,0
truly distinctive and a deeply pertinent film ,1
disturbing ,0
"when he goes out into public , to avoid being recognized as the man who bilked unsuspecting moviegoers ",0
"told , with superb performances throughout ",1
'll like it ,1
are spectacular ,1
an admittedly middling film ,1
"very compelling , ",1
"the film has ( its ) moments , but they are few and far between . ",0
", ryan gosling ( murder by numbers ) delivers a magnetic performance . ",1
will argue that it ranks with the best of herzog 's works ,1
the lady and the duke something of a theatrical air ,1
"a very distinctive sensibility , ",1
little more than preliminary notes for a science-fiction horror film ,0
point the way for adventurous indian filmmakers toward a crossover into nonethnic markets . ,1
very touching ,1
teetering on the edge of sanity ,0
"crass , low-wattage ",0
earnest and heartfelt but undernourished and plodding . ,1
", i hated myself in the morning . ",0
robbed and replaced ,0
", often hilarious romantic jealousy comedy ",1
ones that were imposed for the sake of commercial sensibilities ,0
made allen 's romantic comedies so pertinent and enduring ,1
emotionally and narratively complex filmmaking ,1
a dearth ,1
erotic ,1
genuinely moving and wisely unsentimental drama ,1
has some unnecessary parts and ,0
add up to little more than a screenful of gamesmanship that 's low on both suspense and payoff ,0
's always disappointing when a documentary fails to live up to -- or offer any new insight into -- its chosen topic . ,0
alternative medicine obviously has its merits ... but ayurveda does the field no favors . ,0
"a.e.w. mason 's story to suit the sensibilities of a young american , a decision that plucks `` the four feathers '' bare ",0
resemble their celebrity parents ,1
"with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable `` formula 51 '' is somewhat entertaining ",1
succeeded beyond all expectation ,1
a real story ,1
a gentle and engrossing character study . ,1
kafka ,1
the sum ,1
from the clumsy cliché of the ugly american ,0
spent the duration of the film 's shooting schedule waiting to scream ,0
watch barbershop again if you 're in need of a cube fix -- ,1
you actually buy into ,1
jackie chan movies are a guilty pleasure ,1
that something hip and transgressive was being attempted here that stubbornly refused to gel ,0
"wes craven 's presence is felt ; not the craven of ' a nightmare on elm street ' or ` the hills have eyes , ' but the sad schlock merchant of ` deadly friend . ' ",0
it will stay with you ,1
wooden dialogue ,0
is that van wilder does little that is actually funny with the material ,0
terrific film ,1
expect and often surprises you with unexpected comedy ,1
the writing is indifferent ,0
a dime in the tries-so-hard-to-be-cool `` clockstoppers ,0
excuse to get to the closing bout ... by which time it 's impossible to care who wins ,0
will wish there had been more of the `` queen '' and less of the `` damned ,0
reached its expiration date ,0
"from its ripe recipe , inspiring ingredients , certified ",1
"spiritless , silly and monotonous ",0
of the expressive power of the camera ,1
the performances are so overstated ,0
"unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself . ",1
the modern master of the chase sequence returns with a chase to end all chases ,1
"blue crush '' is the phenomenal , water-born cinematography by david hennings ",1
the best way ,1
nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks . ,0
innovative ,1
in a new way ,1
does justice ,1
an uneasy mix of run-of-the-mill raunchy humor and seemingly sincere personal reflection . ,0
the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs . ,1
"it 's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing . ",1
delicate ambiguity ,1
a satisfactory overview ,1
"although purportedly a study in modern alienation , it 's really little more than a particularly slanted , gay s/m fantasy , enervating and deadeningly drawn-out . ",0
want to smash its face in ,0
to elevate it beyond its formula to the level of classic romantic comedy to which it aspires ,1
comes to resemble the kind of soft-core twaddle you 'd expect to see on showtime 's ` red shoe diaries ,0
fluffy and disposible . ,0
faked ,0
"assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him ",1
"have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat . ",0
like a lazy summer afternoon ,1
insufferably naive . ,0
zany mix ,1
"the whole affair , true story or not , feels incredibly hokey ... ",0
's a very valuable film ,1
stands out from the pack even if the picture itself is somewhat problematic . ,1
"reacting to it - feeling a part of its grand locations , ",1
is stiff or just plain bad ,0
everything too safe ,0
an adorably whimsical comedy that deserves more than a passing twinkle . ,1
"kwan is a master of shadow , quietude , and room noise , and lan yu is a disarmingly lived-in movie . ",1
cookie-cutter action scenes ,0
"director hoffman , his writer and kline 's agent should serve detention ",0
